City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,14.62,80,100,2.31,NZ,1673898360
1,bonavista,48.6499,-53.1147,1.15,98,100,10.73,CA,1673898361
2,mamedkala,42.1677,48.1199,1.59,80,49,2.43,RU,1673898362
3,mahebourg,-20.4081,57.7,26.25,78,75,5.14,MU,1673898363
4,calabozo,8.9242,-67.4293,35.81,25,9,2.02,VE,1673898364
5,ponta do sol,32.6667,-17.1,16.35,59,14,3.48,PT,1673898365
6,ilulissat,69.2167,-51.1,-19.99,65,40,7.72,GL,1673898366
7,bluff,-46.6,168.3333,15.32,76,19,7.56,NZ,1673898367
8,antalaha,-14.9003,50.2788,22.95,91,100,2.68,MG,1673898367
9,east london,-33.0153,27.9116,24.03,91,69,3.14,ZA,1673898368
10,jamestown,42.097,-79.2353,6.8,33,0,2.06,US,1673898173
11,nemuro,43.3236,145.575,-5.86,64,66,8.1,JP,1673898370
12,avarua,-21.2078,-159.775,26.03,78,6,1.54,CK,1673898370
13,naliya,23.2667,68.8333,15.5,24,3,3.94,IN,1673898371
14,sao raimundo nonato,-9.0153,-42.6994,29.37,48,100,0.5,BR,1673898372
15,campohermoso,36.9357,-2.1337,14.18,66,100,1.67,ES,1673898373
16,asau,46.4333,26.4,2.51,73,100,2.12,RO,1673898186
17,krasnyy oktyabr,56.1167,38.8833,-5.95,94,100,4.6,RU,1673898374
18,port elizabeth,-33.918,25.5701,23.39,93,100,5.66,ZA,1673898375
19,darhan,49.4867,105.9228,-24.94,96,14,3.43,MN,1673898376
20,lasa,46.6166,10.7002,1.49,95,99,1.26,IT,1673898377
21,ostrovnoy,68.0531,39.5131,0.19,87,100,9.18,RU,1673898091
22,teya,60.3778,92.6267,-16.94,99,100,1.25,RU,1673898378
23,yulara,-25.2406,130.9889,27.59,44,3,2.44,AU,1673898283
24,upernavik,72.7868,-56.1549,-18.9,95,100,2.44,GL,1673898379
25,bethel,41.3712,-73.414,6.2,56,0,3.6,US,1673898211
26,kieta,-6.2167,155.6333,26.35,83,99,1.09,PG,1673898380
27,isla mujeres,21.2311,-86.731,25.65,58,3,6.63,MX,1673898381
28,albany,42.6001,-73.9662,3.18,54,87,2.7,US,1673898306
29,odienne,9.51,-7.5692,26.66,14,5,1.92,CI,1673898382
30,puerto ayora,-0.7393,-90.3518,29.98,89,88,2.68,EC,1673898384
31,alofi,-19.0595,-169.9187,26.94,78,75,2.57,NU,1673898289
32,bandarbeyla,9.4942,50.8122,24.08,74,8,8.64,SO,1673898386
33,cape town,-33.9258,18.4232,25.23,70,0,7.72,ZA,1673898181
34,gweta,-20.1833,25.2333,26.76,47,96,4.41,BW,1673898388
35,thompson,55.7435,-97.8558,-12.91,85,100,2.06,CA,1673898389
36,barrow,71.2906,-156.7887,-29.99,76,75,6.69,US,1673898389
37,vallenar,-28.5708,-70.7581,28.72,27,0,5.43,CL,1673898390
38,marawi,7.9986,124.2928,20.37,96,96,0.8,PH,1673898391
39,ipixuna,-1.7625,-48.8043,26.5,77,100,1.36,BR,1673898392
40,waingapu,-9.6567,120.2641,26.11,84,100,2.58,ID,1673898393
